========================================================================
ENCOUNTERNN ENSEMBLE PERTURBATION REPORT
========================================================================

n_seeds:       10
perturb_scale: 1.00e-08 AU
model:         encounter_surrogate_v3_set2.pt
dt:            0.06000000
T:             100.0

Columns: pos_final | pos_timeavg | vel_final | vel_timeavg | iso_exit_pos | iso_exit_vel | iso_4yr_pos | iso_4yr_vel
Positive gain_pct = EncounterNN CLOSER to IAS15 = IMPROVEMENT

  seed  pos_final_gain_pct  pos_timeavg_gain_p  vel_final_gain_pct  vel_timeavg_gain_p  iso_exit_pos_gain_  iso_exit_vel_gain_  iso_4yr_pos_gain_p  iso_4yr_vel_gain_p
----------------------------------------------------------------------------------------------------------------------------------------------------------------
    0              +67.180             +10.060             +58.733              +5.869             +81.512             +66.952              -6.274              +1.737
    1              +29.485              +0.492             -26.332             -11.913             +81.521             +66.963              -6.276              +1.738
    2              +24.265             +18.843             +17.531             +13.112             +81.504             +66.941              -6.272              +1.735
    3              +46.378              +2.538             -54.270              -6.395             +81.519             +66.961              -6.276              +1.738
    4               +5.755              -9.776            -135.281             -21.386             +81.516             +66.957              -6.275              +1.738
    5               +9.285              +5.941             -16.303              -2.578             +81.522             +66.963              -6.276              +1.738
    6              +62.515             +13.760             +60.270             +11.227             +81.508             +66.946              -6.273              +1.737
    7              +36.777             +11.476             +14.462             +10.939             +81.523             +66.965              -6.276              +1.738
    8              +34.179             +12.869              +9.843             +12.945             +81.524             +66.966              -6.277              +1.739
    9              +10.520              -9.346            -100.000             -21.432             +81.517             +66.957              -6.275              +1.737

  MEAN              +32.634              +5.686             -17.135              -0.961             +81.516             +66.957              -6.275              +1.737
  STD               +20.326              +9.190             +60.799             +13.102              +0.006              +0.008              +0.002              +0.001
  MEDIAN            +31.832              +8.001              -3.230              +1.646             +81.518             +66.959              -6.275              +1.738
  MIN                +5.755              -9.776            -135.281             -21.432             +81.504             +66.941              -6.277              +1.735
  MAX               +67.180             +18.843             +60.270             +13.112             +81.524             +66.966              -6.272              +1.739

  N_improved (gain>0 = EncounterNN closer to IAS15):
  N>0                   10                   8                   5                   5                  10                  10                   0                  10
